127.0.0.1 - - [06/Feb/2018:10:51:47 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:44 +0900] "GET /JSPBoard/MainPage/board_view.do?bdId=51&bdTitle=%C5%D7%BD%BA%C6%AE%20%B0%D4%BD%C3%C6%C7 HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:44 +0900] "GET /JSPBoard/MainPage/welcome.do?bdTitle=%C5%D7%BD%BA%C6%AE%20%B0%D4%BD%C3%C6%C7 HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:46 +0900] "GET /JSPBoard/MainPage/board_view.do?bdId=51&bdTitle=%C5%D7%BD%BA%C6%AE%20%B0%D4%BD%C3%C6%C7 HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:47 +0900] "GET /JSPBoard/MainPage/welcome.do?bdTitle=%C5%D7%BD%BA%C6%AE%20%B0%D4%BD%C3%C6%C7 HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:48 +0900] "GET /JSPBoard/MainPage/NotReady.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/MainPage/modifyWelcome.do?bdTitle=%C5%D7%BD%BA%C6%AE%20%B0%D4%BD%C3%C6%C7&menuTitle= HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/js/HuskyEZCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/SmartEditor2Skin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/css/smart_editor2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/js/jindo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/js/jindo_component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/js/SE2B_Configuration_General.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/js/SE2B_Configuration_Service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/js/smarteditor2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/js/SE2BasicCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/photo_uploader/plugin/hp_SE2M_AttachQuickPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/img/bg_text_tool.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/img/ko_KR/text_tool_set.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:30:51 +0900] "GET /JSPBoard/se2/css/smart_editor2_items.css HTTP/1.1" 304 -
